705696213	20161110	201611	2016	2016.8493	LBN	BEIRUT	LBN								SAU	SAUDI ARABIA	SAU								0	190	190	19	4	-10.0	2	1	2	-2.76073619631902	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171110141500	http://theiranproject.com/blog/2017/11/10/lebanon-president-voices-concern-hariri-situation-saudi-arabia/
705696214	20161110	201611	2016	2016.8493	LBN	BEIRUT	LBN								SAU	SAUDI ARABIA	SAU								0	190	190	19	4	-10.0	2	1	2	-2.76073619631902	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20171110141500	http://theiranproject.com/blog/2017/11/10/lebanon-president-voices-concern-hariri-situation-saudi-arabia/
705696215	20161110	201611	2016	2016.8493	LEG	PARLIAMENT						LEG			GOV	FINANCE MINIST						GOV			1	040	040	04	1	1.0	10	1	10	0	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171110141500	http://cyprusbusinessmail.com/?p=54628
705696216	20161110	201611	2016	2016.8493	NGOUSA	INTERNATIONAL RESCUE COMMITTEE	USA					NGO													1	020	020	02	1	3.0	7	1	7	-6.41891891891892	1	Bangladesh	BG	BG		24	90	BG	0								1	Bangladesh	BG	BG		24	90	BG	20171110141500	http://www.myanmarnews.net/news/255324299/40000-rohingya-children-face-malnutritionneed-life-saving-aid
705696217	20161110	201611	2016	2016.8493	ROU	ROMANIAN									GBR	SCOTLAND	GBR								1	042	042	04	1	1.9	4	1	4	-8.94736842105264	1	Iceland	IC	IC		65	-18	IC	1	Iceland	IC	IC		65	-18	IC	1	Iceland	IC	IC		65	-18	IC	20171110141500	https://stv.tv/news/west-central/1401919-man-gets-eight-years-in-jail-for-raping-girl-behind-shop/
705696218	20161110	201611	2016	2016.8493	ROU	ROMANIAN									GBR	SCOTLAND	GBR								1	042	042	04	1	1.9	3	1	3	-8.94736842105264	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	20171110141500	https://stv.tv/news/west-central/1401919-man-gets-eight-years-in-jail-for-raping-girl-behind-shop/
705696219	20161110	201611	2016	2016.8493	SAU	SAUDI ARABIA	SAU																		0	030	030	03	1	4.0	2	1	2	-2.76073619631902	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20171110141500	http://theiranproject.com/blog/2017/11/10/lebanon-president-voices-concern-hariri-situation-saudi-arabia/
705696220	20161110	201611	2016	2016.8493	USA	UNITED STATES	USA								EDU	STUDENT						EDU			0	050	050	05	1	3.5	10	1	10	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696221	20171011	201710	2017	2017.7699	AFRGOV	AFRICA	AFR					GOV			LBR	LIBERIAN	LBR								0	036	036	03	1	4.0	10	1	10	3.06946688206786	1	Liberia	LI	LI		6.5	-9.5	LI	1	Liberia	LI	LI		6.5	-9.5	LI	1	Liberia	LI	LI		6.5	-9.5	LI	20171110141500	https://www.channelstv.com/2017/11/10/ive-never-experienced-anything-like-the-rochas-foundation-liberian-president/
705696222	20171011	201710	2017	2017.7699	EDUHLH	SCHOOL						EDU	HLH												1	020	020	02	1	3.0	15	3	15	-3.51735685403709	4	Chibok, Borno, Nigeria	NI	NI27	191091	10.8658	12.847	-2003729	0								4	Chibok, Borno, Nigeria	NI	NI27	191091	10.8658	12.847	-2003729	20171110141500	http://www.dailymail.co.uk/wires/reuters/article-5070149/Nigerias-sick-Chibok-girls-struggle-school-dispute-medical-bills.html
705696223	20171011	201710	2017	2017.7699	GOV	MINISTRY						GOV													0	090	090	09	2	-2.0	10	1	10	-8.01393728222996	1	Zimbabwe	ZI	ZI		-19	29	ZI	0								1	Zimbabwe	ZI	ZI		-19	29	ZI	20171110141500	http://www.newser.com/story/251392/tweet-could-send-us-woman-to-jail-for-20-years.html
705696224	20171011	201710	2017	2017.7699	GOV	GOVERNMENT						GOV			CMR	CAMEROON	CMR								0	111	111	11	3	-2.0	2	1	2	-7.60180995475113	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	20171110141500	http://allafrica.com/stories/201711100727.html
705696225	20171011	201710	2017	2017.7699	GOV	GOVERNMENT						GOV			CMROPP	CAMEROON	CMR					OPP			0	051	051	05	1	3.4	4	1	4	-7.60180995475113	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	20171110141500	http://allafrica.com/stories/201711100727.html
705696226	20171011	201710	2017	2017.7699	GOV	GOVERNMENT						GOV			CMROPP	CAMEROON	CMR					OPP			0	111	111	11	3	-2.0	4	1	4	-7.60180995475113	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	20171110141500	http://allafrica.com/stories/201711100727.html
705696227	20171011	201710	2017	2017.7699	GOV	MINIST						GOV			FRA	FRANCE	FRA								1	030	030	03	1	4.0	3	1	3	-2.64900662251656	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	20171110141500	http://en.rfi.fr/wire/20171110-french-ex-culture-minister-confirmed-new-unesco-head
705696228	20171011	201710	2017	2017.7699	GOV	GOVERNMENT						GOV			OPP	PROTESTER						OPP			0	051	051	05	1	3.4	4	1	4	-7.60180995475113	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	20171110141500	http://allafrica.com/stories/201711100727.html
705696229	20171011	201710	2017	2017.7699	GOV	GOVERNMENT						GOV			OPP	PROTESTER						OPP			0	111	111	11	3	-2.0	2	1	2	-7.60180995475113	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	4	Bamenda, Nord-Ouest, Cameroon	CM	CM07	12495	5.95265	10.1582	-3145955	20171110141500	http://allafrica.com/stories/201711100727.html
705696230	20171011	201710	2017	2017.7699	LBR	LIBERIAN	LBR								AFRGOV	AFRICA	AFR					GOV			0	036	036	03	1	4.0	10	1	10	3.06946688206786	1	Liberia	LI	LI		6.5	-9.5	LI	1	Liberia	LI	LI		6.5	-9.5	LI	1	Liberia	LI	LI		6.5	-9.5	LI	20171110141500	https://www.channelstv.com/2017/11/10/ive-never-experienced-anything-like-the-rochas-foundation-liberian-president/
705696231	20171103	201711	2017	2017.8301											BEL	BRUSSELS	BEL								1	042	042	04	1	1.9	3	1	3	-7.43099787685775	0								1	Kosovo	KV	KV		42.583333	21	KV	1	Kosovo	KV	KV		42.583333	21	KV	20171110141500	http://www.reuters.com/article/us-kosovo-interpol/kosovo-says-false-arrest-warrant-for-pm-undermines-dialogue-with-serbia-idUSKBN1DA1SY
705696232	20171103	201711	2017	2017.8301											GOV	PREMIER						GOV			0	043	043	04	1	2.8	5	1	5	0.98425196850393	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20171110141500	http://mtstandard.com/news/local/residents-express-concern-caution-for-proposed-slag-processing-plant/article_21fbde27-3976-5d33-ba0f-5baf6c78e7c7.html
705696233	20171103	201711	2017	2017.8301											IGOEUREEC	EUROPEAN PARLIAMENT	EUR	EEC				IGO			1	036	036	03	1	4.0	6	1	6	1.09289617486339	0								4	Gothenburg, Vastra Gotalands Lan, Sweden	SW	SW28	26247	57.7167	11.9667	-2482986	4	Gothenburg, Vastra Gotalands Lan, Sweden	SW	SW28	26247	57.7167	11.9667	-2482986	20171110141500	https://www.politico.eu/blogs/playbook-plus/2017/11/european-commission-briefing-preparing-for-gothenburg-social-summit/
705696234	20171103	201711	2017	2017.8301											MNCJPN	TOYOTA	JPN					MNC			1	020	020	02	1	3.0	2	1	2	-2.7027027027027	0								1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20171110141500	http://www.grandprix.com/ns/ns37746.html
705696235	20171103	201711	2017	2017.8301	BEL	BRUSSELS	BEL																		1	043	043	04	1	2.8	3	1	3	-7.43099787685775	1	Kosovo	KV	KV		42.583333	21	KV	0								1	Kosovo	KV	KV		42.583333	21	KV	20171110141500	http://www.reuters.com/article/us-kosovo-interpol/kosovo-says-false-arrest-warrant-for-pm-undermines-dialogue-with-serbia-idUSKBN1DA1SY
705696236	20171103	201711	2017	2017.8301	BHR	BAHRAIN	BHR								MNCJPN	TOYOTA	JPN					MNC			1	020	020	02	1	3.0	2	1	2	-2.7027027027027	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	1	Bahrain	BA	BA		26	50.5	BA	20171110141500	http://www.grandprix.com/ns/ns37746.html
705696237	20171103	201711	2017	2017.8301	GOV	PREMIER						GOV													0	042	042	04	1	1.9	5	1	5	0.98425196850393	2	Montana, United States	US	USMT		46.9048	-110.326	MT	0								2	Montana, United States	US	USMT		46.9048	-110.326	MT	20171110141500	http://mtstandard.com/news/local/residents-express-concern-caution-for-proposed-slag-processing-plant/article_21fbde27-3976-5d33-ba0f-5baf6c78e7c7.html
705696238	20171103	201711	2017	2017.8301	GOV	AUTHORITIES						GOV													1	133	133	13	3	-5.8	6	1	6	-3.13531353135313	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171110141500	https://www.ucanews.com/news/protests-held-outside-us-embassy-ahead-of-asean-summit-in-manila/80757
705696239	20171103	201711	2017	2017.8301	GOV	AUTHORITIES						GOV													1	133	133	13	3	-5.8	2	1	2	-3.13531353135313	1	United States	US	US		39.828175	-98.5795	US	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171110141500	https://www.ucanews.com/news/protests-held-outside-us-embassy-ahead-of-asean-summit-in-manila/80757
705696240	20171103	201711	2017	2017.8301	IGOUNO	THE UN		UNO				IGO			RUS	RUSSIAN	RUS								1	036	036	03	1	4.0	8	1	8	1.25786163522013	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20171110141500	http://www.ansamed.info/ansamed/en/news/sections/politics/2017/11/10/un-envoy-in-paris-ahead-of-intra-syrian-talks_d3d63098-7d55-42e9-aaff-faf5aed70547.html
705696241	20171103	201711	2017	2017.8301	IGOUNOGOV	THE UN		UNO				IGO	GOV		RUS	RUSSIAN	RUS								1	036	036	03	1	4.0	8	1	8	1.25786163522013	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171110141500	http://www.ansamed.info/ansamed/en/news/sections/politics/2017/11/10/un-envoy-in-paris-ahead-of-intra-syrian-talks_d3d63098-7d55-42e9-aaff-faf5aed70547.html
705696242	20171103	201711	2017	2017.8301	IRN	IRAN	IRN								SAU	SAUDI	SAU								1	194	194	19	4	-10.0	2	1	2	-2.76679841897233	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171110141500	http://gulfnews.com/news/gulf/yemen/saudi-yemen-land-border-crossing-opened-1.2122055
705696243	20171103	201711	2017	2017.8301	IRN	IRAN	IRN								SAU	SAUDI	SAU								1	194	194	19	4	-10.0	2	1	2	-2.76679841897233	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	1	Lebanon	LE	LE		33.833333	35.833333	LE	20171110141500	http://gulfnews.com/news/gulf/yemen/saudi-yemen-land-border-crossing-opened-1.2122055
705696244	20171103	201711	2017	2017.8301	JUD	MAGISTRATE						JUD													1	010	010	01	1	0.0	3	1	3	-2.73224043715847	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	0								4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	20171110141500	http://www.nation.co.ke/lifestyle/showbiz/Court-throws-out-Hamisa-case-against-Diamond/1950810-4181600-r3e8fl/
705696245	20171103	201711	2017	2017.8301	JUD	MAGISTRATE						JUD													1	120	120	12	3	-4.0	3	1	3	-2.73224043715847	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	0								4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	20171110141500	http://www.nation.co.ke/lifestyle/showbiz/Court-throws-out-Hamisa-case-against-Diamond/1950810-4181600-r3e8fl/
705696246	20171103	201711	2017	2017.8301	JUD	MAGISTRATE						JUD			TZA	TANZANIA	TZA								1	010	010	01	1	0.0	1	1	1	-2.73224043715847	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	20171110141500	http://www.nation.co.ke/lifestyle/showbiz/Court-throws-out-Hamisa-case-against-Diamond/1950810-4181600-r3e8fl/
705696247	20171103	201711	2017	2017.8301	JUD	MAGISTRATE						JUD			TZA	TANZANIA	TZA								1	120	120	12	3	-4.0	1	1	1	-2.73224043715847	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	4	Dar Es Salaam, Dar es Salaam, Tanzania	TZ	TZ23	48390	-6.8	39.2833	-2562166	20171110141500	http://www.nation.co.ke/lifestyle/showbiz/Court-throws-out-Hamisa-case-against-Diamond/1950810-4181600-r3e8fl/
705696248	20171103	201711	2017	2017.8301	LEG	SENATE						LEG													1	110	110	11	3	-2.0	4	1	4	-2.70700636942675	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171110141500	https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-no-more-mr-nice-guy-n819636
705696249	20171103	201711	2017	2017.8301	REL	PRIEST									EGY	CAIRO	EGY								0	190	190	19	4	-10.0	3	1	3	-1.71306209850107	4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	4	Stanford, Leicestershire, United Kingdom	UK	UKH5	40126	52.7833	-1.18333	-2608567	20171110141500	http://mobile.wnd.com/2017/11/iltv-weekly-review-nov-10-2017/
705696250	20171103	201711	2017	2017.8301	RUS	RUSSIAN	RUS								IGOUNO	THE UN		UNO				IGO			1	036	036	03	1	4.0	8	1	8	1.25786163522013	1	Russia	RS	RS		60	100	RS	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Russia	RS	RS		60	100	RS	20171110141500	http://www.ansamed.info/ansamed/en/news/sections/politics/2017/11/10/un-envoy-in-paris-ahead-of-intra-syrian-talks_d3d63098-7d55-42e9-aaff-faf5aed70547.html
705696251	20171103	201711	2017	2017.8301	RUS	RUSSIAN	RUS								IGOUNOGOV	THE UN		UNO				IGO	GOV		1	036	036	03	1	4.0	8	1	8	1.25786163522013	1	Russia	RS	RS		60	100	RS	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Russia	RS	RS		60	100	RS	20171110141500	http://www.ansamed.info/ansamed/en/news/sections/politics/2017/11/10/un-envoy-in-paris-ahead-of-intra-syrian-talks_d3d63098-7d55-42e9-aaff-faf5aed70547.html
