703876966	20171104	201711	2017	2017.8329	CHN	CHINA	CHN								KOR	SOUTH KOREA	KOR								0	043	043	04	1	2.8	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876967	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	110	110	11	3	-2.0	6	1	6	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876968	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	110	110	11	3	-2.0	4	1	4	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876969	20171104	201711	2017	2017.8329	CHNGOV	XI JINPING	CHN					GOV			CHN	BEIJING	CHN								0	022	022	02	1	3.2	3	1	3	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876970	20171104	201711	2017	2017.8329	CHNGOV	XI JINPING	CHN					GOV			CHN	BEIJING	CHN								0	050	050	05	1	3.5	3	1	3	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876971	20171104	201711	2017	2017.8329	CHNGOV	CHINESE	CHN					GOV			CHNGOV	XI JINPING	CHN					GOV			0	040	040	04	1	1.0	6	1	3	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876972	20171104	201711	2017	2017.8329	COPGOV	DEPUTY						COP	GOV		GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876973	20171104	201711	2017	2017.8329	COPGOV	DEPUTY						COP	GOV		NGO	NON GOVERNMENT ORGANIZATION						NGO			1	042	042	04	1	1.9	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876974	20171104	201711	2017	2017.8329	EDU	SCHOOL						EDU			GOVEDU	EDUCATION DEPARTMENT						GOV	EDU		0	051	051	05	1	3.4	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876975	20171104	201711	2017	2017.8329	GOV	GOVERNMENT						GOV			COPGOV	DEPUTY						COP	GOV		1	043	043	04	1	2.8	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876976	20171104	201711	2017	2017.8329	GOV	GOVERNMENT						GOV			NGO	NON GOVERNMENT ORGANIZATION						NGO			1	040	040	04	1	1.0	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876977	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	BEIJING	CHN								0	022	022	02	1	3.2	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876978	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	030	030	03	1	4.0	4	1	4	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876979	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	030	030	03	1	4.0	6	1	6	-2.04724409448819	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876980	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	CHINESE	CHN								0	040	040	04	1	1.0	1	1	1	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876981	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	CHINESE	CHN								0	040	040	04	1	1.0	1	1	1	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876982	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	042	042	04	1	1.9	4	1	4	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876983	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	CHINA	CHN								0	042	042	04	1	1.9	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876984	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	043	043	04	1	2.8	4	1	4	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876985	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	CHINA	CHN								0	043	043	04	1	2.8	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876986	20171104	201711	2017	2017.8329	KOR	SOUTH KOREA	KOR								CHN	BEIJING	CHN								0	050	050	05	1	3.5	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876987	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	110	110	11	3	-2.0	6	1	6	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876988	20171104	201711	2017	2017.8329	KOR	SEOUL	KOR								CHN	BEIJING	CHN								0	110	110	11	3	-2.0	4	1	4	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876989	20171104	201711	2017	2017.8329	KOR	SOUTH KOREAN	KOR								GOV	REGIME						GOV			1	010	010	01	1	0.0	5	1	5	-11.3846153846154	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20171104121500	KCNA website in English/BBC Monitoring/(c) BBC
703876990	20171104	201711	2017	2017.8329	LBN	LEBANESE	LBN								LBNGOV	LEBANON	LBN					GOV			1	010	010	01	1	0.0	2	1	2	-4.54545454545455	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	Lebanon	LE	LE		33.833333	35.833333	LE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703876991	20171104	201711	2017	2017.8329	LBN	LEBANESE	LBN								LBNGOV	LEBANON	LBN					GOV			1	0831	083	08	2	5.0	2	1	2	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703876992	20171104	201711	2017	2017.8329	LBNGOV	LEBANESE	LBN					GOV													1	010	010	01	1	0.0	6	1	6	-4.54545454545455	1	Lebanon	LE	LE		33.833333	35.833333	LE	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703876993	20171104	201711	2017	2017.8329	LBNGOV	LEBANESE	LBN					GOV													1	0831	083	08	2	5.0	6	1	6	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703876994	20171104	201711	2017	2017.8329	MED	MEDIA						MED													0	010	010	01	1	0.0	10	1	10	-3.46153846153847	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171104121500	Tolo TV News website in Dari/BBC Monitoring/(c) BBC
703876995	20171104	201711	2017	2017.8329	MED	MEDIA						MED													0	120	120	12	3	-4.0	10	1	10	-3.46153846153847	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171104121500	Tolo TV News website in Dari/BBC Monitoring/(c) BBC
703876996	20171104	201711	2017	2017.8329	MED	MEDIA						MED			GOV	KINGDOM						GOV			1	040	040	04	1	1.0	10	1	10	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703876997	20171104	201711	2017	2017.8329	NGO	NON GOVERNMENT ORGANIZATION						NGO			COPGOV	DEPUTY						COP	GOV		1	043	043	04	1	2.8	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876998	20171104	201711	2017	2017.8329	NGO	NON GOVERNMENT ORGANIZATION						NGO			GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	10	1	10	-1.32743362831859	0								0								0								20171104121500	Herat TV in Dari/BBC Monitoring/(c) BBC
703876999	20171104	201711	2017	2017.8329	PRKBUS	NORTH KOREA	PRK					BUS			PRK	NORTH KOREA	PRK								1	160	160	16	4	-4.0	2	1	2	-3.52422907488987	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703877000	20171104	201711	2017	2017.8329	SAU	SAUDI	SAU																		1	071	071	07	2	7.4	8	1	8	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703877001	20171104	201711	2017	2017.8329	SAU	SAUDI	SAU																		1	071	071	07	2	7.4	2	1	2	-4.54545454545455	1	Syria	SY	SY		35	38	SY	0								4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703877002	20171104	201711	2017	2017.8329	SAU	SAUDI ARABIA	SAU																		1	111	111	11	3	-2.0	3	1	3	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703877003	20171104	201711	2017	2017.8329	SAU	SAUDI ARABIA	SAU																		1	111	111	11	3	-2.0	1	1	1	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								1	Iran	IR	IR		32	53	IR	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
703877004	20171104	201711	2017	2017.8329	SAU	SAUDI ARABIA	SAU								GOV	KINGDOM						GOV			1	190	190	19	4	-10.0	10	1	10	-4.54545454545455	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171104121500	Al-Arabiya TV, Dubai/BBC Monitoring/(c) BBC
