705348882	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	LAWMAKER						LEG			0	010	010	01	1	0.0	8	1	8	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348883	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	HOUSE OF COMMONS						LEG			0	042	042	04	1	1.9	2	1	2	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348884	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	HOUSE OF COMMONS						LEG			0	042	042	04	1	1.9	8	1	8	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Israel	IS	IS		31.5	34.75	IS	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348885	20161109	201611	2016	2016.8466	GOV	SPACE AGENCY						GOV			USA	FLORIDA	USA								0	090	090	09	2	-2.0	1	1	1	-3.66598778004074	1	Antarctica	AY	AY		-85.6221	32.3438	AY	1	Antarctica	AY	AY		-85.6221	32.3438	AY	1	Antarctica	AY	AY		-85.6221	32.3438	AY	20171109134500	https://www.dailystar.co.uk/news/latest-news/658804/NASA-Antarctica-Supervolcano-Mantle-Plume-Lava-Sea-Level-Climate-Change-Ice-Age-Melting
705348886	20161109	201611	2016	2016.8466	GOV	SPACE AGENCY						GOV			USA	FLORIDA	USA								0	090	090	09	2	-2.0	4	1	4	-3.66598778004074	1	Antarctica	AY	AY		-85.6221	32.3438	AY	2	Florida, United States	US	USFL		27.8333	-81.717	FL	1	Antarctica	AY	AY		-85.6221	32.3438	AY	20171109134500	https://www.dailystar.co.uk/news/latest-news/658804/NASA-Antarctica-Supervolcano-Mantle-Plume-Lava-Sea-Level-Climate-Change-Ice-Age-Melting
705348887	20161109	201611	2016	2016.8466	GOV	PRIME MINISTER						GOV			VNM	VIETNAM	VNM								1	040	040	04	1	1.0	14	1	14	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348888	20161109	201611	2016	2016.8466	GOV	PRIME MINISTER						GOV			VNMGOV	VIETNAMESE	VNM					GOV			1	040	040	04	1	1.0	3	1	3	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348889	20161109	201611	2016	2016.8466	IRN	IRAN	IRN								REL	PILGRIM									0	043	043	04	1	2.8	1	1	1	4.9645390070922	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	4	Karbala, Hormozgan, Iran	IR	IR11	41051	25.7269	58.8531	-3761681	20171109134500	https://www.tasnimnews.com/en/news/2017/11/09/1569309/ayatollah-khamenei-sees-promising-prospect-for-islamic-civilization
705348890	20161109	201611	2016	2016.8466	IRQ	KARBALA	IRQ								REL	PILGRIM									0	043	043	04	1	2.8	1	1	1	4.9645390070922	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20171109134500	https://www.tasnimnews.com/en/news/2017/11/09/1569309/ayatollah-khamenei-sees-promising-prospect-for-islamic-civilization
705348891	20161109	201611	2016	2016.8466	LEG	HOUSE OF COMMONS						LEG			GBRGOV	UNITED KINGDOM	GBR					GOV			0	043	043	04	1	2.8	2	1	2	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348892	20161109	201611	2016	2016.8466	LEG	HOUSE OF COMMONS						LEG			GBRGOV	UNITED KINGDOM	GBR					GOV			0	043	043	04	1	2.8	8	1	8	-5.64334085778781	1	Israel	IS	IS		31.5	34.75	IS	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348893	20161109	201611	2016	2016.8466	REB	GUERRILLA						REB													1	043	043	04	1	2.8	10	1	10	5.08474576271187	2	California, United States	US	USCA		36.17	-119.746	CA	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20171109134500	https://www.ghanaweb.com/GhanaHomePage/entertainment/Sakora-is-a-new-thing-Pascal-Aka-598884
705348894	20161109	201611	2016	2016.8466	REL	PILGRIM									IRN	IRAN	IRN								0	042	042	04	1	1.9	1	1	1	4.9645390070922	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	4	Karbala, Hormozgan, Iran	IR	IR11	41051	25.7269	58.8531	-3761681	20171109134500	https://www.tasnimnews.com/en/news/2017/11/09/1569309/ayatollah-khamenei-sees-promising-prospect-for-islamic-civilization
705348895	20161109	201611	2016	2016.8466	REL	PILGRIM									IRQ	KARBALA	IRQ								0	042	042	04	1	1.9	1	1	1	4.9645390070922	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	1	Iraq	IZ	IZ		33	44	IZ	20171109134500	https://www.tasnimnews.com/en/news/2017/11/09/1569309/ayatollah-khamenei-sees-promising-prospect-for-islamic-civilization
705348896	20161109	201611	2016	2016.8466	VNM	VIETNAM	VNM								GOV	PRIME MINISTER						GOV			1	040	040	04	1	1.0	14	1	14	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348897	20161109	201611	2016	2016.8466	VNM	VIETNAM	VNM								VNMGOV	VIETNAMESE	VNM					GOV			1	040	040	04	1	1.0	1	1	1	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348898	20161109	201611	2016	2016.8466	VNM	VIETNAM	VNM								nav	NAVAJO			nav						1	013	013	01	1	0.4	1	1	1	-0.25706940874036	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20171109134500	https://navajotimes.com/reznews/the-ninth-man/
705348899	20161109	201611	2016	2016.8466	VNMGOV	VIETNAMESE	VNM					GOV			GOV	PRIME MINISTER						GOV			1	040	040	04	1	1.0	3	1	3	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348900	20161109	201611	2016	2016.8466	VNMGOV	VIETNAMESE	VNM					GOV			VNM	VIETNAM	VNM								1	040	040	04	1	1.0	1	1	1	1.44927536231884	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	4	Da Nang, Ð N?ng, Vietnam, Republic Of	VM	VM78	73992	16.0678	108.221	-3712125	20171109134500	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1408930
705348901	20171010	201710	2017	2017.7671											JUD	ADVOCATE						JUD			1	190	190	19	4	-10.0	6	1	6	-1.11386138613861	0								3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20171109134500	http://www.sfexaminer.com/mayor-lee-creates-vision-zero-rapid-response-team-following-public-pressure-pedestrian-deaths/
705348902	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	6	1	6	-1.99556541019955	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348903	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348904	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								ETH	ETHIOPIA	ETH								0	042	042	04	1	1.9	2	1	2	-1.99556541019955	1	South Sudan	OD	OD		8	30	OD	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348905	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								SSD	SOUTH SUDAN	SSD								0	042	042	04	1	1.9	6	1	6	-1.99556541019955	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	South Sudan	OD	OD		8	30	OD	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348906	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								SSD	SOUTH SUDAN	SSD								0	042	042	04	1	1.9	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348907	20171010	201710	2017	2017.7671	COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								SSD	SOUTH SUDAN	SSD								0	042	042	04	1	1.9	2	1	2	-1.99556541019955	1	South Sudan	OD	OD		8	30	OD	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348908	20171010	201710	2017	2017.7671	ETH	ETHIOPIA	ETH								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	6	1	6	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348909	20171010	201710	2017	2017.7671	ETH	ETHIOPIA	ETH								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348910	20171010	201710	2017	2017.7671	ETH	ETHIOPIA	ETH								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	South Sudan	OD	OD		8	30	OD	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348911	20171010	201710	2017	2017.7671	GBR	UNITED KINGDOM	GBR								GOV	GOVERNMENT						GOV			1	172	172	17	4	-5.0	10	1	10	-2.24089635854342	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171109134500	http://allafrica.com/stories/201711091087.html
705348912	20171010	201710	2017	2017.7671	GBR	BRITISH	GBR								RUS	RUSSIAN	RUS								1	110	110	11	3	-2.0	10	1	10	-1.13085621970921	1	Hungary	HU	HU		47	20	HU	1	Hungary	HU	HU		47	20	HU	1	Hungary	HU	HU		47	20	HU	20171109134500	https://www.spectator.co.uk/2017/11/does-disability-make-a-difference-to-art-or-does-art-transcend-disability/
705348913	20171010	201710	2017	2017.7671	GBR	BRITISH	GBR								SPY	INTELLIGENCE						SPY			0	090	090	09	2	-2.0	2	1	2	-4.76190476190476	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171109134500	http://economia.icaew.com/en/news/november-2017/robot-tax-would-suppress-growth-says-report
705348914	20171010	201710	2017	2017.7671	GBRBUS	BRITISH	GBR					BUS			SPY	INTELLIGENCE						SPY			0	090	090	09	2	-2.0	8	1	8	-4.76190476190476	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171109134500	http://economia.icaew.com/en/news/november-2017/robot-tax-would-suppress-growth-says-report
705348915	20171010	201710	2017	2017.7671	GOV	IMMIGRATION MINIST						GOV			AUS	AUSTRALIA	AUS								0	120	120	12	3	-4.0	2	1	2	-6.44329896907216	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	1	Nauru	NR	NR		-0.533333	166.916667	NR	1	Nauru	NR	NR		-0.533333	166.916667	NR	20171109134500	http://www.pireport.org/articles/2017/05/25/detainees-manus-seek-asylum-new-zealand-calling-png-unsafe
705348916	20171010	201710	2017	2017.7671	GOV	IMMIGRATION MINIST						GOV			AUS	AUSTRALIA	AUS								0	120	120	12	3	-4.0	8	1	8	-6.44329896907216	1	Nauru	NR	NR		-0.533333	166.916667	NR	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171109134500	http://www.pireport.org/articles/2017/05/25/detainees-manus-seek-asylum-new-zealand-calling-png-unsafe
705348917	20171010	201710	2017	2017.7671	JUD	ADVOCATE						JUD			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	4	1	4	-1.11386138613861	3	San Francisco, California, United States	US	USCA	CA075	37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	3	San Francisco, California, United States	US	USCA		37.7749	-122.419	277593	20171109134500	http://www.sfexaminer.com/mayor-lee-creates-vision-zero-rapid-response-team-following-public-pressure-pedestrian-deaths/
705348918	20171010	201710	2017	2017.7671	SSD	SOUTH SUDAN	SSD								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348919	20171010	201710	2017	2017.7671	SSD	SOUTH SUDAN	SSD								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	2	1	2	-1.99556541019955	1	Ethiopia	ET	ET		8	38	ET	1	South Sudan	OD	OD		8	30	OD	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348920	20171010	201710	2017	2017.7671	SSD	SOUTH SUDAN	SSD								COD	DEMOCRATIC REPUBLIC OF THE CONGO	COD								0	043	043	04	1	2.8	6	1	6	-1.99556541019955	1	South Sudan	OD	OD		8	30	OD	1	Democratic Republic Of The Congo	CG	CG		0	25	CG	1	Ethiopia	ET	ET		8	38	ET	20171109134500	http://gulfnews.com/opinion/thinkers/trump-s-dangerous-retreat-from-africa-1.2121769
705348921	20171010	201710	2017	2017.7671	UAF	GUNMEN						UAF													1	193	193	19	4	-10.0	8	1	8	-5.01474926253687	4	Banti, Indonesia (general), Indonesia	ID	ID00	18585	-3.46667	119.833	-2671822	0								4	Banti, Indonesia (general), Indonesia	ID	ID00	18585	-3.46667	119.833	-2671822	20171109134500	https://www.washingtonpost.com/world/the_americas/indonesia-security-forces-in-standoff-with-papua-separatists/2017/11/09/4fd147c0-c550-11e7-9922-4151f5ca6168_story.html
705348922	20171010	201710	2017	2017.7671	UAF	GUNMEN						UAF													1	193	193	19	4	-10.0	2	1	2	-5.01474926253687	4	Banti, Indonesia (general), Indonesia	ID	ID00	18585	-3.46667	119.833	-2671822	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20171109134500	https://www.washingtonpost.com/world/the_americas/indonesia-security-forces-in-standoff-with-papua-separatists/2017/11/09/4fd147c0-c550-11e7-9922-4151f5ca6168_story.html
705348923	20171102	201711	2017	2017.8274											IRL	TARA	IRL								1	180	180	18	4	-9.0	2	1	2	-7.84313725490196	0								3	Allentown, Pennsylvania, United States	US	USPA	PA003	40.4276	-79.9939	1202899	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20171109134500	http://www.timesleader.com/national/state/681841/police-pennsylvania-man-kills-woman-after-she-rejects-marriage-proposal
705348924	20171102	201711	2017	2017.8274											IRL	TARA	IRL								1	180	180	18	4	-9.0	1	1	1	-7.84313725490196	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20171109134500	http://www.timesleader.com/national/state/681841/police-pennsylvania-man-kills-woman-after-she-rejects-marriage-proposal
705348925	20171102	201711	2017	2017.8274											USA	UNITED STATES	USA								0	164	164	16	4	-7.0	4	1	4	-1.18929633300297	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171109134500	http://valleycentral.com/news/texas/how-a-chaotic-night-in-the-texas-house-paved-the-way-for-speaker-straus
705348926	20171102	201711	2017	2017.8274	AUS	AUSTRALIA	AUS																		1	181	181	18	4	-9.0	4	1	4	-6.50759219088937	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	0								4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20171109134500	http://www.dailymail.co.uk/news/article-5066025/Woman-45-relives-having-throat-cut-four-times-partner.html
705348927	20171102	201711	2017	2017.8274	BUS	COMPANY						BUS			USA	OREGON	USA								1	051	051	05	1	3.4	5	1	5	2.03045685279188	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20171109134500	http://www.otcmarkets.com/stock/GLDFF/news?id=174765
705348928	20171102	201711	2017	2017.8274	CRM	CRIMINAL						CRM													0	090	090	09	2	-2.0	3	1	3	-6.31578947368422	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20171109134500	http://www.newspakistan.pk/2017/11/09/former-tv-anchor-accuses-kevin-spacey-sexually-assaulting-teenage-son/
705348929	20171102	201711	2017	2017.8274	GBR	UNITED KINGDOM	GBR								PRT	PORTUGAL	PRT								0	043	043	04	1	2.8	6	1	6	1.85185185185186	4	Braunton, Devon, United Kingdom	UK	UKD4	40104	51.1	-4.18333	-2590736	4	Praia Do Norte, Azores, Portugal	PO	PO23	24802	38.6	-28.7667	-2173438	4	Braunton, Devon, United Kingdom	UK	UKD4	40104	51.1	-4.18333	-2590736	20171109134500	http://www.telegraph.co.uk/news/2017/11/09/british-surfer-breaks-back-wipeoutas-50ft-wave-crashes/
705348930	20171102	201711	2017	2017.8274	IRN	IRAN	IRN								IRNJUD	IRAN	IRN					JUD			0	012	012	01	1	-0.4	3	1	3	-5.60625814863103	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171109134500	http://www.cnn.com/2017/11/09/europe/boris-johnson-nazanin-zaghari-ratcliffe-iran/
705348931	20171102	201711	2017	2017.8274	IRQ	IRAQ	IRQ																		0	192	192	19	4	-9.5	2	1	2	-1.19581464872945	4	Al Bu Kamal, Sala? ad Din, Iraq	IZ	IZ18	36834	33.9924	44.3446	10255644	0								4	Qaim, NinawáZ, Iraq	IZ	IZ15	36823	36.5085	43.1807	9124670	20171109134500	http://gulfnews.com/news/mena/syria/daesh-militants-evacuate-last-stronghold-in-syria-1.2121713
705348932	20171102	201711	2017	2017.8274	ISR	ISRAEL	ISR								ISRGOV	ISRAEL	ISR					GOV			1	043	043	04	1	2.8	2	1	2	1.2987012987013	1	Israel	IS	IS		31.5	34.75	IS	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Edgware, Barnet, United Kingdom	UK	UKA2	40114	51.6	-0.266667	-2595383	20171109134500	https://www.thenational.ae/world/europe/the-pro-israel-peer-who-brought-down-a-uk-cabinet-minister-1.674211
