704286954	20171007	201710	2017	2017.7589	MED	MEDIA						MED			MYS	MALAYSIA	MYS								1	042	042	04	1	1.9	2	1	2	0.60975609756097	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286955	20171007	201710	2017	2017.7589	MED	MEDIA						MED			MYS	MALAYSIA	MYS								1	042	042	04	1	1.9	2	1	2	0.60975609756097	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286956	20171007	201710	2017	2017.7589	MED	MEDIA						MED			MYS	MALAYSIA	MYS								1	042	042	04	1	1.9	4	1	4	0.60975609756097	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286957	20171007	201710	2017	2017.7589	MED	MEDIA						MED			THA	THAILAND	THA								1	042	042	04	1	1.9	8	1	8	0.60975609756097	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286958	20171007	201710	2017	2017.7589	MED	MEDIA						MED			THA	THAILAND	THA								1	042	042	04	1	1.9	2	1	2	0.60975609756097	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	4	Songkla, Songkhla, Thailand	TH	TH68	27043	7.19882	100.595	-3255323	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286959	20171007	201710	2017	2017.7589	MILCOP	MILITARY						MIL	COP												0	173	173	17	4	-5.0	5	1	5	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	0								4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286960	20171007	201710	2017	2017.7589	MYS	MALAYSIA	MYS								MED	MEDIA						MED			1	043	043	04	1	2.8	2	1	2	0.60975609756097	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286961	20171007	201710	2017	2017.7589	MYS	MALAYSIA	MYS								MED	MEDIA						MED			1	043	043	04	1	2.8	6	1	6	0.60975609756097	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	4	Pattani, Pattani, Thailand	TH	TH69	26824	6.8749	101.255	-3252536	4	Betong, Sarawak, Malaysia	MY	MY11	18585	1.4	111.517	-2401212	20171106111500	http://www.bernama.com/bernama/v8/fe/newsfeatures.php?id=1407738
704286962	20171007	201710	2017	2017.7589	PAN	PANAMA	PAN								JUD	JUDGE						JUD			1	120	120	12	3	-4.0	1	1	1	-0.4424778761062	1	Panama	PM	PM		9	-80	PM	1	Panama	PM	PM		9	-80	PM	1	Panama	PM	PM		9	-80	PM	20171106111500	http://www.independent.com.mt/articles/2017-11-06/local-news/PL-PN-lawyers-in-heated-exchange-in-court-6736181108
704286963	20171007	201710	2017	2017.7589	PAN	PANAMA	PAN								PANJUD	PANAMA	PAN					JUD			1	120	120	12	3	-4.0	1	1	1	-0.4424778761062	1	Panama	PM	PM		9	-80	PM	1	Panama	PM	PM		9	-80	PM	1	Panama	PM	PM		9	-80	PM	20171106111500	http://www.independent.com.mt/articles/2017-11-06/local-news/PL-PN-lawyers-in-heated-exchange-in-court-6736181108
