704675424	20171107	201711	2017	2017.8411	CVL	VILLAGE						CVL			UAF	FIGHTER						UAF			0	190	190	19	4	-10.0	5	1	5	-3	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675425	20171107	201711	2017	2017.8411	CYP	CYPRIOT	CYP								CYPGOV	CYPRUS	CYP					GOV			0	013	013	01	1	0.4	2	1	2	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675426	20171107	201711	2017	2017.8411	CYP	CYPRUS	CYP								FRA	FRANCE	FRA								0	046	046	04	1	7.0	3	1	3	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675427	20171107	201711	2017	2017.8411	CYP	CYPRUS	CYP								FRA	FRANCE	FRA								0	046	046	04	1	7.0	4	1	4	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675428	20171107	201711	2017	2017.8411	CYP	CYPRUS	CYP								FRA	FRANCE	FRA								0	046	046	04	1	7.0	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675429	20171107	201711	2017	2017.8411	CYP	CYPRIOT	CYP								FRAGOV	FRENCH	FRA					GOV			1	040	040	04	1	1.0	5	1	5	3.55648535564854	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675430	20171107	201711	2017	2017.8411	CYP	CYPRIOT	CYP								IGOUNO	UNSC		UNO				IGO			0	051	051	05	1	3.4	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675431	20171107	201711	2017	2017.8411	CYP	CYPRIOT	CYP								IGOUNO	UNSC		UNO				IGO			0	051	051	05	1	3.4	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675432	20171107	201711	2017	2017.8411	CYPGOV	CYPRIOT	CYP					GOV													0	013	013	01	1	0.4	8	1	8	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	0								1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675433	20171107	201711	2017	2017.8411	CYPGOV	CYPRIOT	CYP					GOV													0	070	070	07	2	7.0	6	1	6	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	0								1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675434	20171107	201711	2017	2017.8411	CYPGOV	CYPRUS	CYP					GOV			GOV	GOVERNMENT SPOKESMAN						GOV			1	046	046	04	1	7.0	10	1	10	0.30911901081916	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675435	20171107	201711	2017	2017.8411	CYPGOV	CYPRIOT	CYP					GOV			IGOUNO	UNSC		UNO				IGO			0	051	051	05	1	3.4	7	1	7	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675436	20171107	201711	2017	2017.8411	CYPGOV	CYPRUS	CYP					GOV			IGOUNO	UNSC		UNO				IGO			0	051	051	05	1	3.4	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675437	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								CYP	CYPRUS	CYP								0	046	046	04	1	7.0	3	1	3	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675438	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								CYP	CYPRUS	CYP								0	046	046	04	1	7.0	4	1	4	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675439	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								CYP	CYPRUS	CYP								0	046	046	04	1	7.0	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675440	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								CYP	CYPRUS	CYP								1	051	051	05	1	3.4	1	1	1	3.55648535564854	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675441	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								GOV	GOVERNMENT SPOKESMAN						GOV			1	046	046	04	1	7.0	8	1	8	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675442	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								GOV	GOVERNMENT SPOKESMAN						GOV			1	046	046	04	1	7.0	2	1	2	0.30911901081916	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675443	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								IGOEUREEC	THE EU	EUR	EEC				IGO			0	051	051	05	1	3.4	2	1	2	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675444	20171107	201711	2017	2017.8411	FRA	FRANCE	FRA								IGOEUREEC	THE EU	EUR	EEC				IGO			0	051	051	05	1	3.4	8	1	8	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675445	20171107	201711	2017	2017.8411	FRAGOV	FRENCH	FRA					GOV			CYP	CYPRIOT	CYP								1	040	040	04	1	1.0	4	1	4	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675446	20171107	201711	2017	2017.8411	FRAGOV	FRANCE	FRA					GOV			CYP	CYPRUS	CYP								1	040	040	04	1	1.0	1	1	1	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675447	20171107	201711	2017	2017.8411	FRAGOV	FRANCE	FRA					GOV			CYP	CYPRUS	CYP								1	051	051	05	1	3.4	1	1	1	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675448	20171107	201711	2017	2017.8411	FRAGOV	FRANCE	FRA					GOV			CYP	CYPRUS	CYP								1	051	051	05	1	3.4	1	1	1	3.55648535564854	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675449	20171107	201711	2017	2017.8411	GBR	BRITISH	GBR								UIS	THE INTERNATIONAL COMMUNITY						UIS			1	010	010	01	1	0.0	4	1	4	-3.72208436724566	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171107150000	Maseer, Kabul/BBC Monitoring/(c) BBC
704675450	20171107	201711	2017	2017.8411	GBRGOV	BRITISH	GBR					GOV			AFGMED	KABUL	AFG					MED			1	010	010	01	1	0.0	2	1	2	-1.875	1	United Kingdom	UK	UK		54	-4	UK	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	United Kingdom	UK	UK		54	-4	UK	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675451	20171107	201711	2017	2017.8411	GBRGOV	BRITISH	GBR					GOV			UIS	THE INTERNATIONAL COMMUNITY						UIS			1	010	010	01	1	0.0	6	1	6	-3.72208436724566	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Maseer, Kabul/BBC Monitoring/(c) BBC
704675452	20171107	201711	2017	2017.8411	GOV	PRESIDENT						GOV													0	013	013	01	1	0.4	10	1	10	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675453	20171107	201711	2017	2017.8411	GOV	PRESIDENT						GOV			CYP	CYPRUS	CYP								1	051	051	05	1	3.4	3	1	3	3.55648535564854	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675454	20171107	201711	2017	2017.8411	GOV	PRESIDENT						GOV			CYP	CYPRUS	CYP								1	051	051	05	1	3.4	3	1	3	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675455	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			CYP	CYPRUS	CYP								1	125	125	12	3	-5.0	7	1	7	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675456	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			CYPGOV	CYPRUS	CYP					GOV			1	026	026	02	1	4.0	10	1	10	0.30911901081916	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675457	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			CYPGOV	CYPRUS	CYP					GOV			1	046	046	04	1	7.0	10	1	10	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675458	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			FRA	FRANCE	FRA								1	026	026	02	1	4.0	8	1	8	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675459	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			FRA	FRANCE	FRA								1	026	026	02	1	4.0	2	1	2	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675460	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			FRA	FRANCE	FRA								1	046	046	04	1	7.0	8	1	8	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675461	20171107	201711	2017	2017.8411	GOV	GOVERNMENT SPOKESMAN						GOV			FRA	FRANCE	FRA								1	046	046	04	1	7.0	2	1	2	0.30911901081916	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	4	Zygi, Larnaca, Cyprus	CY	CY03	14808	34.7333	33.3375	-2738946	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675462	20171107	201711	2017	2017.8411	GOV	PRESIDENT						GOV			FRAGOV	FRENCH	FRA					GOV			0	051	051	05	1	3.4	6	1	6	3.55648535564854	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675463	20171107	201711	2017	2017.8411	GOV	FOREIGN MINIST						GOV			RUS	RUSSIAN	RUS								1	046	046	04	1	7.0	4	1	4	-2.32558139534884	1	Russia	RS	RS		60	100	RS	4	Caspian Sea, Oceans (general), Oceans	OS	OS00	25069	42	50	-1506347	4	Caspian Sea, Oceans (general), Oceans	OS	OS00	25069	42	50	-1506347	20171107150000	Tasnim news agency website, Tehran/BBC Monitoring/(c) BBC
704675464	20171107	201711	2017	2017.8411	IDN	INDONESIAN	IDN								AFG	KABUL	AFG								1	042	042	04	1	1.9	2	1	2	-1.875	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675465	20171107	201711	2017	2017.8411	IDN	INDONESIAN	IDN								AFG	AFGHAN	AFG								1	046	046	04	1	7.0	2	1	2	-1.875	1	United Kingdom	UK	UK		54	-4	UK	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675466	20171107	201711	2017	2017.8411	IDNGOV	INDONESIAN	IDN					GOV			AFG	AFGHAN	AFG								1	040	040	04	1	1.0	6	1	6	-1.875	1	Indonesia	ID	ID		-5	120	ID	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675467	20171107	201711	2017	2017.8411	IDNGOV	INDONESIAN	IDN					GOV			AFG	KABUL	AFG								1	042	042	04	1	1.9	6	1	6	-1.875	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675468	20171107	201711	2017	2017.8411	IDNGOV	INDONESIAN	IDN					GOV			AFG	AFGHAN	AFG								1	046	046	04	1	7.0	6	1	6	-1.875	1	Indonesia	ID	ID		-5	120	ID	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
