704185847	20171007	201710	2017	2017.7589	USA	NEW YORK	USA																		0	112	112	11	3	-2.0	1	1	1	-5.24590163934427	2	New York, United States	US	USNY		42.1497	-74.9384	NY	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171106014500	http://www.dailymail.co.uk/tvshowbiz/article-5052915/Hilaria-Baldwin-hides-camera-NYC-Alec-drama.html
704185848	20171007	201710	2017	2017.7589	USA	UNITED STATES	USA																		1	193	193	19	4	-10.0	8	1	8	-11.0634648370497	3	University Of Texas, Texas, United States	US	USTX	TX453	30.286	-97.7389	1349113	0								3	University Of Texas, Texas, United States	US	USTX		30.286	-97.7389	1349113	20171106014500	http://www.mirror.co.uk/news/world-news/sutherland-springs-massacre-fifth-deadliest-11474159
704185849	20171030	201710	2017	2017.8219											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	12	1	12	3.33951762523191	0								4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	20171106014500	http://www.yasstribune.com.au/story/5031863/in-remembrance-of-sir-harry-chauvel/?cs=5768
704185850	20171030	201710	2017	2017.8219											FJI	FIJIAN	FJI								0	043	043	04	1	2.8	77	10	77	-3.02004572645674	0								4	Vanua Levu Island, Western, Fiji	FJ	FJ05	40203	-17.4667	177.05	-1196215	4	Bonn, Nordrhein-Westfalen, Germany	GM	GM07	16554	50.7333	7.1	-1750167	20171106014500	http://abcnews.go.com/International/wireStory/fiji-highlight-pacific-climate-plight-german-summit-50951396
704185851	20171030	201710	2017	2017.8219	AFR	AFRICA	AFR								NGA	LAGOS	NGA								1	042	042	04	1	1.9	8	1	8	5.04833512352309	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20171106014500	http://punchng.com/shaping-lives-through-philanthropy/
704185852	20171030	201710	2017	2017.8219	AUS	AUSTRALIA	AUS																		1	043	043	04	1	2.8	12	1	12	3.33951762523191	4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	0								4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	20171106014500	http://www.yasstribune.com.au/story/5031863/in-remembrance-of-sir-harry-chauvel/?cs=5768
704185853	20171030	201710	2017	2017.8219	AUS	AUSTRALIA	AUS																		1	051	051	05	1	3.4	8	1	8	3.33951762523191	4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	0								1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.yasstribune.com.au/story/5031863/in-remembrance-of-sir-harry-chauvel/?cs=5768
704185854	20171030	201710	2017	2017.8219	CVL	CIVIL SOCIETY						CVL			MED	MEDIA						MED			1	010	010	01	1	0.0	10	1	10	-2.94906166219839	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	1	Uganda	UG	UG		2	33	UG	20171106014500	http://www.observer.ug/viewpoint/55780-hiv-aids-drugs-stock-outs-are-a-time-bomb.html
704185855	20171030	201710	2017	2017.8219	DEU	BONN	DEU								CHN	CHINA	CHN								0	010	010	01	1	0.0	7	1	7	0.34305317324185	4	Bonn, Nordrhein-Westfalen, Germany	GM	GM07	16554	50.7333	7.1	-1750167	4	Zhenhua, Heilongjiang, China	CH	CH08	13097	46.0163	127.429	10936218	4	Zhenhua, Heilongjiang, China	CH	CH08	13097	46.0163	127.429	10936218	20171106014500	https://www.theweathernetwork.com/us/news/articles/climate-and-environment/china-poised-for-climate-leadership-at-un-talks-as-us-pulls-out/88874/
704185856	20171030	201710	2017	2017.8219	FJI	FIJIAN	FJI																		0	042	042	04	1	1.9	77	10	77	-3.02004572645674	4	Vanua Levu Island, Western, Fiji	FJ	FJ05	40203	-17.4667	177.05	-1196215	0								4	Bonn, Nordrhein-Westfalen, Germany	GM	GM07	16554	50.7333	7.1	-1750167	20171106014500	http://abcnews.go.com/International/wireStory/fiji-highlight-pacific-climate-plight-german-summit-50951396
704185857	20171030	201710	2017	2017.8219	GBR	UNITED KINGDOM	GBR								GBROPP	UNITED KINGDOM	GBR					OPP			0	050	050	05	1	3.5	1	1	1	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185858	20171030	201710	2017	2017.8219	GBR	UNITED KINGDOM	GBR								GBROPP	UNITED KINGDOM	GBR					OPP			0	112	112	11	3	-2.0	1	1	1	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185859	20171030	201710	2017	2017.8219	GBR	UNITED KINGDOM	GBR								OPP	ACTIVIST						OPP			0	050	050	05	1	3.5	1	1	1	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185860	20171030	201710	2017	2017.8219	GBR	UNITED KINGDOM	GBR								OPP	ACTIVIST						OPP			0	112	112	11	3	-2.0	1	1	1	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185861	20171030	201710	2017	2017.8219	MED	PUBLIC RADIO						MED			GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	2	1	2	-3.93700787401575	2	California, United States	US	USCA		36.17	-119.746	CA	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171106014500	http://www.washingtontimes.com/news/2017/nov/5/editorial-harassment-stories-have-become-all-the-r/
704185862	20171030	201710	2017	2017.8219	NGA	LAGOS	NGA								AFR	AFRICA	AFR								1	043	043	04	1	2.8	8	1	8	5.04833512352309	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171106014500	http://punchng.com/shaping-lives-through-philanthropy/
704185863	20171030	201710	2017	2017.8219	OPP	ACTIVIST						OPP													0	050	050	05	1	3.5	3	1	3	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185864	20171030	201710	2017	2017.8219	OPP	ACTIVIST						OPP													0	112	112	11	3	-2.0	3	1	3	-7.12694877505568	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20171106014500	http://www.heraldscotland.com/politics/15642302.May_tries_to_stem_tide_of_Tory_sleaze_claims/
704185865	20171030	201710	2017	2017.8219	REB	REBEL						REB			SAU	SAUDI	SAU								0	194	194	19	4	-10.0	2	1	2	-6.48648648648649	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171106014500	http://www.china.org.cn/world/2017-11/06/content_41851233.htm
704185866	20171030	201710	2017	2017.8219	REB	REBEL						REB			SAU	SAUDI	SAU								0	194	194	19	4	-10.0	2	1	2	-6.48648648648649	4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	20171106014500	http://www.china.org.cn/world/2017-11/06/content_41851233.htm
704185867	20171030	201710	2017	2017.8219	REB	REBEL						REB			SAUMIL	SAUDI	SAU					MIL			0	194	194	19	4	-10.0	6	1	6	-6.48648648648649	4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171106014500	http://www.china.org.cn/world/2017-11/06/content_41851233.htm
704185868	20171030	201710	2017	2017.8219	USA	UNITED STATES	USA																		1	1821	182	18	4	-9.0	4	1	4	-4.95750708215297	2	Idaho, United States	US	USID		44.2394	-114.51	ID	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	20171106014500	https://www.mamamia.com.au/kevin-spaceys-brother-speaks/
704185869	20171105	201711	2017	2017.8356	COP	POLICE						COP			MOS	ISLAMIC				MOS					1	190	190	19	4	-10.0	2	1	2	-6.88405797101449	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	20171106014500	http://thenationonlineng.net/two-feared-dead-policeshia-clash-kano/
704185870	20171105	201711	2017	2017.8356	COP	POLICE						COP			MOS	ISLAMIC				MOS					1	190	190	19	4	-10.0	8	1	8	-6.88405797101449	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	20171106014500	http://thenationonlineng.net/two-feared-dead-policeshia-clash-kano/
704185871	20171105	201711	2017	2017.8356	GOV	MAYOR						GOV			CVL	COMMUNITY						CVL			1	022	022	02	1	3.2	10	1	10	-2.75229357798165	0								0								0								20171106014500	https://www.9news.com.au/national/2017/11/06/12/01/mum-pays-tribute-to-daughter-who-drowned-at-nsw-pool
704185872	20171105	201711	2017	2017.8356	MOS	ISLAMIC				MOS					COP	POLICE						COP			1	1123	112	11	3	-2.0	2	1	2	-6.88405797101449	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20171106014500	http://thenationonlineng.net/two-feared-dead-policeshia-clash-kano/
704185873	20171105	201711	2017	2017.8356	MOS	ISLAMIC				MOS					COP	POLICE						COP			1	1123	112	11	3	-2.0	8	1	8	-6.88405797101449	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	5	Kano State, Kano, Nigeria	NI	NI29	191066	11.5	8.5	-2014618	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20171106014500	http://thenationonlineng.net/two-feared-dead-policeshia-clash-kano/
704185874	20171106	201711	2017	2017.8384											ARG	ROSARIO	ARG								1	017	017	01	1	0.0	6	1	6	0.80428954423592	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171106014500	http://www.heraldsun.com.au/entertainment/television/fans-devastated-over-beloved-sitcom-characters-death/news-story/93aafb81e3d43ad7ab0c75018b4791bf?nk=83442ddf0debead9165a301ce07df35d-1509931952
704185875	20171106	201711	2017	2017.8384											ARG	ROSARIO	ARG								1	190	190	19	4	-10.0	6	1	6	-1.08932461873638	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171106014500	https://www.mamamia.com.au/rosario-will-and-grace/
704185876	20171106	201711	2017	2017.8384											AUS	AUSTRALIA	AUS								1	014	014	01	1	0.0	4	1	4	0.625	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20171106014500	https://www.cqnews.com.au/news/lloyd-williams-cannot-split-his-top-three-in-melbo/3258122/
704185877	20171106	201711	2017	2017.8384											AUS	VICTORIA	AUS								1	040	040	04	1	1.0	5	1	5	-2.52707581227437	0								0								0								20171106014500	http://www.hepburnadvocate.com.au/story/5035827/ambo-response-times-under-scrutiny-after-death-of-trish-nield/
704185878	20171106	201711	2017	2017.8384											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	-0.46153846153846	0								4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20171106014500	https://www.cqnews.com.au/news/miner-takes-on-gelato-food-vans-to-feed-paget-work/3258153/
704185879	20171106	201711	2017	2017.8384											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	8	1	8	3.33951762523191	0								4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	20171106014500	http://www.yasstribune.com.au/story/5031863/in-remembrance-of-sir-harry-chauvel/?cs=5768
704185880	20171106	201711	2017	2017.8384											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	28	2	16	6.07287449392713	0								4	Lake Fyans, Victoria, Australia	AS	AS07	5410	-37.1371	142.623	11418755	4	Lake Fyans, Victoria, Australia	AS	AS07	5410	-37.1371	142.623	11418755	20171106014500	http://www.araratadvertiser.com.au/story/5036785/lake-fyans-hosts-sailing-competition-photos/?cs=1768
704185881	20171106	201711	2017	2017.8384											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	4	1	4	3.33951762523191	0								4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	4	Yass, New South Wales, Australia	AS	AS02	154643	-34.8404	148.91	-1611784	20171106014500	http://www.yasstribune.com.au/story/5031863/in-remembrance-of-sir-harry-chauvel/?cs=5768
704185882	20171106	201711	2017	2017.8384											AUS	VICTORIA	AUS								1	051	051	05	1	3.4	10	1	10	3.69799691833591	0								0								0								20171106014500	http://www.bbc.co.uk/news/education-41849258
704185883	20171106	201711	2017	2017.8384											BLZ	BELIZE	BLZ								1	100	100	10	3	-5.0	10	1	10	-2.8328611898017	0								1	Belize	BH	BH		17.25	-88.75	BH	1	Belize	BH	BH		17.25	-88.75	BH	20171106014500	http://amandala.com.bz/news/imf-calls-belize-strong-measures/
704185884	20171106	201711	2017	2017.8384											BUS	COMPANY						BUS			1	010	010	01	1	0.0	10	1	10	3.98505603985056	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171106014500	https://www.foodnavigator-asia.com/Article/2017/11/06/Blackmores-CEO-exclusive-part-two-We-need-to-move-beyond-bottles-of-pills
704185885	20171106	201711	2017	2017.8384											BUS	COMPANY						BUS			1	014	014	01	1	0.0	5	1	5	-2.25464190981433	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171106014500	http://www.sharenet.co.za/news/Lonmin_to_showcase_social_projects_after_share_price_meltdown/6f692460fdd6609d6a22ad117f2d3b73
704185886	20171106	201711	2017	2017.8384											BUS	INDUSTRY						BUS			1	051	051	05	1	3.4	10	1	10	8.43373493975903	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171106014500	https://www.bloodhorse.com/horse-racing/articles/224575/taylor-made-stallions-launches-breeding-promotion
704185887	20171106	201711	2017	2017.8384											BUS	BANK						BUS			0	060	060	06	2	6.0	10	1	10	-5.11627906976744	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171106014500	https://www.cqnews.com.au/news/tourist-faces-court-after-43-year-old-struck-kille/3258215/
704185888	20171106	201711	2017	2017.8384											BUS	COMPANY						BUS			1	071	071	07	2	7.4	5	1	5	-2.25464190981433	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171106014500	http://www.sharenet.co.za/news/Lonmin_to_showcase_social_projects_after_share_price_meltdown/6f692460fdd6609d6a22ad117f2d3b73
704185889	20171106	201711	2017	2017.8384											BUS	BANK						BUS			0	071	071	07	2	7.4	10	1	10	-5.11627906976744	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171106014500	https://www.cqnews.com.au/news/tourist-faces-court-after-43-year-old-struck-kille/3258215/
704185890	20171106	201711	2017	2017.8384											BUS	INDUSTRY						BUS			1	084	084	08	2	7.0	5	1	5	8.43373493975903	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171106014500	https://www.bloodhorse.com/horse-racing/articles/224575/taylor-made-stallions-launches-breeding-promotion
704185891	20171106	201711	2017	2017.8384											BUS	COMPANY						BUS			1	100	100	10	3	-5.0	10	1	10	3.98505603985056	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171106014500	https://www.foodnavigator-asia.com/Article/2017/11/06/Blackmores-CEO-exclusive-part-two-We-need-to-move-beyond-bottles-of-pills
704185892	20171106	201711	2017	2017.8384											CAN	MANITOBA	CAN								1	040	040	04	1	1.0	10	1	10	0	0								0								0								20171106014500	http://www.cbc.ca/news/canada/manitoba/crystal-meth-anonymous-meeting-1.4388712
704185893	20171106	201711	2017	2017.8384											CAN	MANITOBA	CAN								1	046	046	04	1	7.0	20	1	10	0	0								0								0								20171106014500	http://www.cbc.ca/news/canada/manitoba/crystal-meth-anonymous-meeting-1.4388712
704185894	20171106	201711	2017	2017.8384											CAN	CANADIAN	CAN								1	130	130	13	3	-4.4	10	1	10	-2.82555282555283	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20171106014500	https://globalnews.ca/news/3845016/cra-paradise-papers-canadians-tax-evasion/
704185895	20171106	201711	2017	2017.8384											CAN	CANADIAN	CAN								1	130	130	13	3	-4.4	2	1	2	-2.82555282555283	0								1	Cayman Islands	CJ	CJ		19.5	-80.666667	CJ	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20171106014500	https://globalnews.ca/news/3845016/cra-paradise-papers-canadians-tax-evasion/
