704011077	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	8	1	8	1.10062893081761	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20171105050000	http://www.northweststar.com.au/story/5035232/the-cup-punchline-may-have-last-laugh/
704011078	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	1	1	1	-0.51020408163265	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	20171105050000	https://www.bigrigs.com.au/news/truckin-in-the-tropics-craig-reid/3257578/
704011079	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	1	1	1	-0.51020408163265	0								4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	20171105050000	https://www.bigrigs.com.au/news/truckin-in-the-tropics-craig-reid/3257578/
704011080	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	2	1	2	1.10062893081761	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171105050000	http://www.northweststar.com.au/story/5035232/the-cup-punchline-may-have-last-laugh/
704011081	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	3.34190231362468	0								4	Cloncurry, Queensland, Australia	AS	AS04	5165	-20.7072	140.513	-1565958	4	Cobungra, Victoria, Australia	AS	AS07	5372	-37.1	147.417	-1566131	20171105050000	http://www.northweststar.com.au/story/5034918/photos-and-results-from-cloncurry-derby-day-races/?cs=192
704011082	20171105	201711	2017	2017.8356											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	3.34190231362468	0								4	Cobungra, Victoria, Australia	AS	AS07	5372	-37.1	147.417	-1566131	4	Cobungra, Victoria, Australia	AS	AS07	5372	-37.1	147.417	-1566131	20171105050000	http://www.northweststar.com.au/story/5034918/photos-and-results-from-cloncurry-derby-day-races/?cs=192
704011083	20171105	201711	2017	2017.8356											AUS	SYDNEY	AUS								1	042	042	04	1	1.9	7	1	7	-0.51020408163265	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	20171105050000	https://www.bigrigs.com.au/news/truckin-in-the-tropics-craig-reid/3257578/
704011084	20171105	201711	2017	2017.8356											AUS	SYDNEY	AUS								1	042	042	04	1	1.9	1	1	1	-0.51020408163265	0								4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	20171105050000	https://www.bigrigs.com.au/news/truckin-in-the-tropics-craig-reid/3257578/
704011085	20171105	201711	2017	2017.8356											AUS	MURRAY	AUS								1	051	051	05	1	3.4	6	1	6	3.18181818181818	0								3	South Mills, North Carolina, United States	US	USNC		36.4457	-76.3274	1025718	3	South Mills, North Carolina, United States	US	USNC		36.4457	-76.3274	1025718	20171105050000	http://www.dailyadvance.com/frontpage/2017/11/05/Holly-Days-bustles-with-vendors-buyers.html
704011086	20171105	201711	2017	2017.8356											AUS	CANBERRA	AUS								0	120	120	12	3	-4.0	4	1	4	-5.86510263929618	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20171105050000	http://www.bbc.com/news/world-australia-41874826
704011087	20171105	201711	2017	2017.8356											BHS	BAHAMA	BHS								0	042	042	04	1	1.9	3	1	3	-2.36326806212019	0								1	Bahamas, The	BF	BF		24	-76	BF	1	Germany	GM	GM		51.5	10.5	GM	20171105050000	http://gearsofbiz.com/why-climate-scientists-are-obsessed-with-two-mysterious-boulders-in-the-bahamas/174009
704011088	20171105	201711	2017	2017.8356											CHRCTH	CATHOLIC				CHR	CTH				0	043	043	04	1	2.8	8	1	8	-0.0726480203414397	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171105050000	https://www.pressenza.com/2017/11/religious-imperative-fight-climate-change-environmental-stewardship-world-religions/
704011089	20171105	201711	2017	2017.8356											COP	POLICE OFFICER						COP			1	064	064	06	2	7.0	2	1	2	-6.27450980392156	0								2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	2	Arkansas, United States	US	USAR		34.9513	-92.3809	AR	20171105050000	http://harrisondaily.com/news/state/update-name-of-batesville-officer-shot-released/article_cfb8f05e-5d89-5213-9c4b-0cc851f61d7f.html
704011090	20171105	201711	2017	2017.8356											COPMIL	POLICE						COP	MIL		1	112	112	11	3	-2.0	5	1	5	-8.88888888888892	0								0								0								20171105050000	https://www.yahoo.com/entertainment/m/102f4981-8801-37b5-b82c-e4194155c0d7/ss_d.c.-police-lieutenant.html
704011091	20171105	201711	2017	2017.8356											CVL	VOTER						CVL			0	020	020	02	1	3.0	8	1	8	0	0								3	Augusta County, Virginia, United States	US	USVA		38.1668	-79.1164	1480098	3	Augusta County, Virginia, United States	US	USVA		38.1668	-79.1164	1480098	20171105050000	http://www.dailyprogress.com/newsvirginian/news/politics/though-still-favored-to-win-gop-incumbent-faces-toughtest-test/article_2c90ccd4-c1c4-11e7-9384-df301c1958bb.html
704011092	20171105	201711	2017	2017.8356											CVL	NEIGHBORHOOD						CVL			0	020	020	02	1	3.0	6	1	6	-7.07964601769911	0								3	Chesterfield County, Virginia, United States	US	USVA		37.3835	-77.5997	1480111	3	Chesterfield County, Virginia, United States	US	USVA		37.3835	-77.5997	1480111	20171105050000	http://wtvr.com/2017/11/05/woman-tired-of-illegal-signs-near-neighborhood-its-blight/
704011093	20171105	201711	2017	2017.8356											CVL	VOTER						CVL			0	020	020	02	1	3.0	2	1	2	0	0								3	Waynesboro, Virginia, United States	US	USVA	VA820	38.0685	-78.8895	1500288	3	Waynesboro, Virginia, United States	US	USVA	VA820	38.0685	-78.8895	1500288	20171105050000	http://www.dailyprogress.com/newsvirginian/news/politics/though-still-favored-to-win-gop-incumbent-faces-toughtest-test/article_2c90ccd4-c1c4-11e7-9384-df301c1958bb.html
704011094	20171105	201711	2017	2017.8356											CVL	PROPERTY OWNER						CVL			0	030	030	03	1	4.0	10	1	10	-0.4861448711716	0								3	Winston-Salem, North Carolina, United States	US	USNC		36.0999	-80.2442	997498	3	Winston-Salem, North Carolina, United States	US	USNC		36.0999	-80.2442	997498	20171105050000	http://www.statesville.com/news/state/ap/landowners-awaiting-payment-following-court-decision/article_34526203-a6c7-52ce-8ba0-0c1c999b6623.html
704011095	20171105	201711	2017	2017.8356											CVL	VILLAGE						CVL			1	042	042	04	1	1.9	1	1	1	-3.65699873896595	0								4	Zhoucun, Shandong, China	CH	CH25	13240	36.8167	117.817	-1939353	4	Zhoucun, Shandong, China	CH	CH25	13240	36.8167	117.817	-1939353	20171105050000	http://news.lycos.com/life/no-joke-chinas-war-on-pollution-roils-worlds-top-pig-farming-sector-ae3b1cceb6a798c30ee66fd499a57dd5/
704011096	20171105	201711	2017	2017.8356											CVL	VILLAGE						CVL			1	042	042	04	1	1.9	1	1	1	-4.06698564593301	0								4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	4	Shandong, Jiangsu, China	CH	CH04	13151	32.9793	118.852	11415469	20171105050000	http://www.scmp.com/news/china/society/article/2118454/chinas-war-pollution-leaves-small-scale-pig-farmers-squealing
704011097	20171105	201711	2017	2017.8356											CVL	RESIDENTS						CVL			1	042	042	04	1	1.9	4	1	4	-5.26315789473684	0								4	Madipakkam, Tamil Nadu, India	IN	IN25	70251	12.9725	80.2092	9087077	4	Madipakkam, Tamil Nadu, India	IN	IN25	70251	12.9725	80.2092	9087077	20171105050000	https://timesofindia.indiatimes.com/city/chennai/people-shift-out-as-panic-rains-down/articleshow/61513880.cms
704011098	20171105	201711	2017	2017.8356											CVL	COMMUNITY						CVL			0	051	051	05	1	3.4	8	1	8	3.18181818181818	0								3	South Mills, North Carolina, United States	US	USNC		36.4457	-76.3274	1025718	3	South Mills, North Carolina, United States	US	USNC		36.4457	-76.3274	1025718	20171105050000	http://www.dailyadvance.com/frontpage/2017/11/05/Holly-Days-bustles-with-vendors-buyers.html
704011099	20171105	201711	2017	2017.8356											CVL	COMMUNITY						CVL			0	051	051	05	1	3.4	2	1	2	3.18181818181818	0								3	South Mills, North Carolina, United States	US	USNC		36.4457	-76.3274	1025718	3	Ebenezer Baptist Church, Virginia, United States	US	USVA		37.5382	-79.047	1466148	20171105050000	http://www.dailyadvance.com/frontpage/2017/11/05/Holly-Days-bustles-with-vendors-buyers.html
704011100	20171105	201711	2017	2017.8356											CVL	IMMIGRANT						CVL			1	173	173	17	4	-5.0	3	1	3	-5.55555555555555	0								4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	4	Tripoli, Tarabulus, Libya	LY	LY61	19101	32.8925	13.18	-3178767	20171105050000	http://nripress.com/200-migrants-rescued-off-libyan-coast/
704011101	20171105	201711	2017	2017.8356											CVL	NEIGHBORHOOD						CVL			1	190	190	19	4	-10.0	2	1	2	-7.07964601769911	0								3	Chesterfield County, Virginia, United States	US	USVA		37.3835	-77.5997	1480111	3	Chesterfield County, Virginia, United States	US	USVA		37.3835	-77.5997	1480111	20171105050000	http://wtvr.com/2017/11/05/woman-tired-of-illegal-signs-near-neighborhood-its-blight/
704011102	20171105	201711	2017	2017.8356											EDU	UNIVERSITY						EDU			1	020	020	02	1	3.0	10	1	10	5.47945205479452	0								1	Myanmar	BM	BM		22	98	BM	1	Myanmar	BM	BM		22	98	BM	20171105050000	http://www.dailyprogress.com/classifieds/other/ads/dailyprogress/house-account-retail/pdfdisplayad_e8264ce9-e1d2-51e2-8bf7-9ca36f0db3af.html
704011103	20171105	201711	2017	2017.8356											EDU	SCHOOL						EDU			1	040	040	04	1	1.0	10	1	10	1.98581560283688	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20171105050000	http://www.nation.co.ke/oped/opinion/presentation-to-excel-in-examinations/440808-4173656-rlhf2wz/
704011104	20171105	201711	2017	2017.8356											EDU	SCHOOL						EDU			1	046	046	04	1	7.0	10	1	10	3.2122905027933	0								3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	PA101	39.9523	-75.1638	1209052	20171105050000	http://www.vegasnews.com/167835/from-classroom-to-stage-teddi-and-the-northern-lights-release-new-ep-and-show-their-students-how-its-done.html
704011105	20171105	201711	2017	2017.8356											EDU	STUDENT						EDU			1	046	046	04	1	7.0	10	1	10	5.47945205479452	0								1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171105050000	http://www.dailyprogress.com/classifieds/other/ads/dailyprogress/house-account-retail/pdfdisplayad_e8264ce9-e1d2-51e2-8bf7-9ca36f0db3af.html
704011106	20171105	201711	2017	2017.8356											EDU	SCHOOL						EDU			1	051	051	05	1	3.4	6	1	6	0	0								3	Augusta County, Virginia, United States	US	USVA		38.1668	-79.1164	1480098	3	Augusta County, Virginia, United States	US	USVA		38.1668	-79.1164	1480098	20171105050000	http://www.dailyprogress.com/newsvirginian/news/politics/though-still-favored-to-win-gop-incumbent-faces-toughtest-test/article_2c90ccd4-c1c4-11e7-9384-df301c1958bb.html
704011107	20171105	201711	2017	2017.8356											EDU	SCHOOL						EDU			1	051	051	05	1	3.4	4	1	4	0	0								3	Waynesboro, Virginia, United States	US	USVA	VA820	38.0685	-78.8895	1500288	3	Waynesboro, Virginia, United States	US	USVA	VA820	38.0685	-78.8895	1500288	20171105050000	http://www.dailyprogress.com/newsvirginian/news/politics/though-still-favored-to-win-gop-incumbent-faces-toughtest-test/article_2c90ccd4-c1c4-11e7-9384-df301c1958bb.html
704011108	20171105	201711	2017	2017.8356											EDU	SCHOOL						EDU			1	051	051	05	1	3.4	6	1	6	0	0								3	Highland County, Virginia, United States	US	USVA		38.3668	-79.3664	1673774	3	Highland County, Virginia, United States	US	USVA		38.3668	-79.3664	1673774	20171105050000	http://www.dailyprogress.com/newsvirginian/news/politics/though-still-favored-to-win-gop-incumbent-faces-toughtest-test/article_2c90ccd4-c1c4-11e7-9384-df301c1958bb.html
704011109	20171105	201711	2017	2017.8356											FRA	FRANCE	FRA								0	013	013	01	1	0.4	4	1	4	-1.98150594451783	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171105050000	http://www.daily-jeff.com/news/20171105/plan-to-rehabilitate-founders-cemetery-taking-shape
704011110	20171105	201711	2017	2017.8356											FRA	FRANCE	FRA								0	014	014	01	1	0.0	4	1	4	-1.98150594451783	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171105050000	http://www.daily-jeff.com/news/20171105/plan-to-rehabilitate-founders-cemetery-taking-shape
704011111	20171105	201711	2017	2017.8356											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	6	1	6	-1.98150594451783	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20171105050000	http://www.daily-jeff.com/news/20171105/plan-to-rehabilitate-founders-cemetery-taking-shape
704011112	20171105	201711	2017	2017.8356											GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	2	1	2	-1.98150594451783	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171105050000	http://www.daily-jeff.com/news/20171105/plan-to-rehabilitate-founders-cemetery-taking-shape
704011113	20171105	201711	2017	2017.8356											GBR	BRITISH	GBR								1	043	043	04	1	2.8	2	1	2	-6.08272506082725	0								1	United Kingdom	UK	UK		54	-4	UK	3	Back Bay, Massachusetts, United States	US	USMA		42.3501	-71.087	617071	20171105050000	http://www.capecodtoday.com/article/2017/11/05/2228-November-5-1778-British-man-war-shipwrecked-Provincetown
704011114	20171105	201711	2017	2017.8356											GOV	PRIME MINISTER						GOV			0	042	042	04	1	1.9	6	1	6	-1.75115207373272	0								4	Kurdis, Mardin, Turkey	TU	TU72	28127	37.2292	40.9675	-775595	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	20171105050000	http://www.thearabweekly.com/News-&-Analysis/9572/Post-ISIS-Iraq-faces-sovereignty-challenges
704011115	20171105	201711	2017	2017.8356											GOV	PRESIDENT						GOV			0	043	043	04	1	2.8	10	1	10	0.44150110375276	0								1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20171105050000	http://www.msn.com/en-us/news/world/arriving-in-japan-trump-projects-confidence-says-he%E2%80%99ll-probably-meet-putin-during-asia-trip/ar-AAus5Zk
704011116	20171105	201711	2017	2017.8356											GOV	CABINET						GOV			1	046	046	04	1	7.0	6	1	6	-1.49597238204833	0								4	Kawangware, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.7333	-2249658	4	Kawangware, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.7333	-2249658	20171105050000	http://www.kdrtv.com/inside-kenyas-most-guarded-kcse-exam/
704011117	20171105	201711	2017	2017.8356											GOV	CHIEF MINISTER						GOV			0	081	081	08	2	5.0	6	1	6	-0.85959885386819	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20171105050000	http://nripress.com/aap-b-team-of-congress-says-manoj-tiwari/
704011118	20171105	201711	2017	2017.8356											GOV	GOVERNMENT						GOV			0	1712	171	17	4	-9.2	4	2	4	-1.63934426229508	0								4	Praia Da Luz, Faro, Portugal	PO	PO09	24764	37.0833	-8.73333	-2168298	4	Praia Da Luz, Faro, Portugal	PO	PO09	24764	37.0833	-8.73333	-2168298	20171105050000	http://www.geelongadvertiser.com.au/lifestyle/uk-police-are-chasing-a-strong-new-lead-in-the-madeleine-mccann-disappearance-this-time-in-bulgaria/news-story/2e42c9720dfb3d25edb709124d86d2a6?nk=b8121e78fa856451c8eda1b15916a650-1509857187
704011119	20171105	201711	2017	2017.8356											GOVLAB	PUBLIC SECTOR						GOV	LAB		1	051	051	05	1	3.4	10	1	10	-0.61349693251534	0								0								0								20171105050000	http://www.nationnews.com/nationnews/news/101856/cbc-owed-usd16m
704011120	20171105	201711	2017	2017.8356											HLH	NURSE						HLH			1	057	057	05	1	8.0	5	1	5	1.78770949720671	0								0								0								20171105050000	http://www.tdtnews.com/news/article_18b3a546-c1ca-11e7-abe4-978beeba611f.html
704011121	20171105	201711	2017	2017.8356											INDGOV	DELHI	IND					GOV			0	081	081	08	2	5.0	2	1	2	-0.85959885386819	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20171105050000	http://nripress.com/aap-b-team-of-congress-says-manoj-tiwari/
704011122	20171105	201711	2017	2017.8356											ITA	ITALY	ITA								0	043	043	04	1	2.8	1	1	1	-4.38892640108035	0								4	Bucharest, Bucuresti, Romania	RO	RO10	25006	44.4333	26.1	-1153951	4	Bucharest, Bucuresti, Romania	RO	RO10	25006	44.4333	26.1	-1153951	20171105050000	http://www.borderlessnewsonline.com/north-korea-kidnapped-people-world/
704011123	20171105	201711	2017	2017.8356											KEN	KENYA	KEN								0	043	043	04	1	2.8	4	1	4	-1.49597238204833	0								4	Kawangware, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.7333	-2249658	4	Kawangware, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.7333	-2249658	20171105050000	http://www.kdrtv.com/inside-kenyas-most-guarded-kcse-exam/
704011124	20171105	201711	2017	2017.8356											MED	MEDIA						MED			0	020	020	02	1	3.0	5	1	5	-6.38766519823789	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171105050000	https://thehimalayantimes.com/kathmandu/challenges-faced-by-female-journalists-discussed/
