703885212	20171005	201710	2017	2017.7534	IRN	IRAN	IRN								USAGOV	OBAMA	USA					GOV			1	120	120	12	3	-4.0	1	1	1	-4.92957746478873	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171104131500	http://www.arabnews.com/node/1188231/middle-east
703885213	20171005	201710	2017	2017.7534	IRN	IRAN	IRN								USAGOV	OBAMA	USA					GOV			1	120	120	12	3	-4.0	1	1	1	-4.92957746478873	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	China	CH	CH		35	105	CH	20171104131500	http://www.arabnews.com/node/1188231/middle-east
703885214	20171005	201710	2017	2017.7534	RUS	RUSSIAN	RUS								SYR	SYRIA	SYR								1	192	192	19	4	-9.5	2	1	2	-7.2265625	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	20171104131500	http://www.middle-east-online.com/english/?id=85766
703885215	20171005	201710	2017	2017.7534	RUS	RUSSIAN	RUS								SYR	SYRIA	SYR								1	192	192	19	4	-9.5	2	1	2	-4.01234567901235	1	Russia	RS	RS		60	100	RS	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	20171104131500	http://www.arabnews.com/node/1188216/middle-east
703885216	20171005	201710	2017	2017.7534	SAU	SAUDI ARABIA	SAU								SYR	SYRIA	SYR								1	174	174	17	4	-5.0	2	1	2	-7.2265625	4	Raqa, Saudi Arabia (general), Saudi Arabia	SA	SA00	25310	17.8728	41.7711	-3098555	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	4	Hawija, DiyaláZ, Iraq	IZ	IZ10	36834	34.0167	44.3833	-3105974	20171104131500	http://www.middle-east-online.com/english/?id=85766
703885217	20171005	201710	2017	2017.7534	SAU	SAUDI ARABIA	SAU								SYRGOV	SYRIA	SYR					GOV			1	100	100	10	3	-5.0	1	1	1	-7.2265625	1	Israel	IS	IS		31.5	34.75	IS	4	Golan Heights, Syria (general), Syria	SY	SY00	26337	32.9049	35.8072	-2538190	4	Golan Heights, Syria (general), Syria	SY	SY00	26337	32.9049	35.8072	-2538190	20171104131500	http://www.middle-east-online.com/english/?id=85766
703885218	20171005	201710	2017	2017.7534	SAU	SAUDI ARABIA	SAU								SYRGOV	SYRIA	SYR					GOV			1	100	100	10	3	-5.0	1	1	1	-7.2265625	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171104131500	http://www.middle-east-online.com/english/?id=85766
703885219	20171005	201710	2017	2017.7534	SGP	SINGAPORE	SGP																		1	051	051	05	1	3.4	10	1	10	5.6140350877193	1	Brunei	BX	BX		4.5	114.666667	BX	0								1	Brunei	BX	BX		4.5	114.666667	BX	20171104131500	http://www.channelnewsasia.com/news/singapore/singapore-and-brunei-reaffirm-special-relationship-launch-9375900
703885220	20171005	201710	2017	2017.7534	SYR	SYRIA	SYR								SYRGOV	SYRIA	SYR					GOV			1	100	100	10	3	-5.0	1	1	1	-4.01234567901235	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	4	Deir Ezzor, Dayr az Zawr, Syria	SY	SY07	26359	35.3359	40.1408	-2541119	20171104131500	http://www.arabnews.com/node/1188216/middle-east
703885221	20171005	201710	2017	2017.7534	SYR	SYRIA	SYR								SYRGOV	SYRIA	SYR					GOV			1	100	100	10	3	-5.0	1	1	1	-4.01234567901235	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	20171104131500	http://www.arabnews.com/node/1188216/middle-east
703885222	20171005	201710	2017	2017.7534	USAJUD	UNITED STATES	USA					JUD			JUD	CIRCUIT COURT OF APPEALS						JUD			1	020	020	02	1	3.0	2	1	2	-6.0377358490566	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171104131500	http://www.masslive.com/entertainment/index.ssf/2017/11/court_asked_to_reconsider_defa.html
703885223	20171005	201710	2017	2017.7534	USAJUD	UNITED STATES	USA					JUD			JUD	CIRCUIT COURT OF APPEALS						JUD			1	020	020	02	1	3.0	2	1	2	-6.0377358490566	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20171104131500	http://www.masslive.com/entertainment/index.ssf/2017/11/court_asked_to_reconsider_defa.html
703885224	20171028	201710	2017	2017.8164	AUT	AUSTRIA	AUT																		0	016	016	01	1	-2.0	4	1	4	-5.73248407643312	4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	0								4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885225	20171103	201711	2017	2017.8301	GBR	BIRMINGHAM	GBR								COP	POLICE						COP			1	111	111	11	3	-2.0	5	1	5	-3.68421052631579	0								0								0								20171104131500	https://www.msn.com/en-gb/news/newsbirmingham/police-are-investigating-after-teenager-was-attacked-in-boots-in-city-centre/ar-AAuqCJp
703885226	20171104	201711	2017	2017.8329											AFR	AFRICA	AFR								1	042	042	04	1	1.9	10	1	10	2.96523517382413	0								4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20171104131500	http://allafrica.com/stories/201711040125.html
703885227	20171104	201711	2017	2017.8329											AFR	AFRICA	AFR								0	112	112	11	3	-2.0	4	1	4	-2.82485875706215	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171104131500	https://www.news24.com/SouthAfrica/News/tom-moyane-avoids-testifying-at-ccma-20170914
703885228	20171104	201711	2017	2017.8329											AFRJUD	AFRICA	AFR					JUD			0	043	043	04	1	2.8	4	1	4	-8.73015873015873	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171104131500	https://www.news24.com/SouthAfrica/News/28-arrested-for-hijacking-building-20130306
703885229	20171104	201711	2017	2017.8329											AGR	CULTIVATOR						AGR			1	020	020	02	1	3.0	6	1	6	-0.55147058823529	0								4	Benguet, Masbate, Philippines	RP	RP39	24244	12.9167	123.117	-2413747	4	Benguet, Masbate, Philippines	RP	RP39	24244	12.9167	123.117	-2413747	20171104131500	https://newsinfo.inquirer.net/942784/benguet-gets-ready-for-marijuana-tourism
703885230	20171104	201711	2017	2017.8329											AGR	CULTIVATOR						AGR			1	100	100	10	3	-5.0	6	1	6	-0.55147058823529	0								4	Amsterdam, Noord-Holland, Netherlands	NL	NL07	22373	52.35	4.91667	-2140479	4	Amsterdam, Noord-Holland, Netherlands	NL	NL07	22373	52.35	4.91667	-2140479	20171104131500	https://newsinfo.inquirer.net/942784/benguet-gets-ready-for-marijuana-tourism
703885231	20171104	201711	2017	2017.8329											AUT	AUSTRIA	AUT								1	014	014	01	1	0.0	1	1	1	-5.73248407643312	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885232	20171104	201711	2017	2017.8329											AUT	AUSTRIA	AUT								1	014	014	01	1	0.0	1	1	1	-5.73248407643312	0								4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885233	20171104	201711	2017	2017.8329											AUT	AUSTRIA	AUT								1	036	036	03	1	4.0	4	1	4	-0.68493150684932	0								1	Austria	AU	AU		47.333333	13.333333	AU	1	Austria	AU	AU		47.333333	13.333333	AU	20171104131500	https://businessofcinema.com/bollywood_news/tiger-prowl-abu-dhabi-salman-khan-rides-quad-bike-liwa-desert/415795
703885234	20171104	201711	2017	2017.8329											AUT	AUSTRIA	AUT								1	112	112	11	3	-2.0	1	1	1	-5.73248407643312	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885235	20171104	201711	2017	2017.8329											AUT	AUSTRIA	AUT								1	112	112	11	3	-2.0	1	1	1	-5.73248407643312	0								4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885236	20171104	201711	2017	2017.8329											AZE	AZERBAIJANI	AZE								1	0841	084	08	2	7.0	8	1	8	-2.11480362537764	0								4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20171104131500	http://www.panarmenian.net/eng/news/248456/Azerbaijan_is_most_similar_to_Gambia_blogger_Lapshin_tells_Armenians
703885237	20171104	201711	2017	2017.8329											AZE	BAKU	AZE								1	173	173	17	4	-5.0	6	1	6	-2.11480362537764	0								1	Armenia	AM	AM		40	45	AM	1	Armenia	AM	AM		40	45	AM	20171104131500	http://www.panarmenian.net/eng/news/248456/Azerbaijan_is_most_similar_to_Gambia_blogger_Lapshin_tells_Armenians
703885238	20171104	201711	2017	2017.8329											BEL	BELGIUM	BEL								1	190	190	19	4	-10.0	3	1	3	-2.40641711229946	0								1	Belgium	BE	BE		50.833333	4	BE	1	Uzbekistan	UZ	UZ		41.707542	63.84911	UZ	20171104131500	http://www.erienewsnow.com/story/36762914/argentine-survivors-mourn-their-5-friends-killed-in-new-york-attack
703885239	20171104	201711	2017	2017.8329											BGD	BANGLADESH	BGD								1	057	057	05	1	8.0	4	1	4	2.48447204968944	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171104131500	http://thefinancialexpress.com.bd/economy/bangladesh/bangladesh-to-get-457m-loan-from-wb-1509799275
703885240	20171104	201711	2017	2017.8329											BUS	INVESTOR						BUS			0	020	020	02	1	3.0	3	1	3	-5.23076923076924	0								1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20171104131500	https://finance.yahoo.com/news/venezuelan-economist-urged-default-cynical-012549190.html
703885241	20171104	201711	2017	2017.8329											BUS	BANK						BUS			1	040	040	04	1	1.0	8	1	8	0.82872928176796	0								4	Syros, Perifereia Notiou Aigaiou, Greece	GR	GR61	16709	37.45	24.9333	-814288	4	Syros, Perifereia Notiou Aigaiou, Greece	GR	GR61	16709	37.45	24.9333	-814288	20171104131500	http://www.naftemporiki.gr/story/1291861/reports-onex-group-close-to-deal-for-syros-shipyard-us-envoy-refers-to-military-interest-in-alexandroupolis-port
703885242	20171104	201711	2017	2017.8329											BUS	BANK						BUS			1	040	040	04	1	1.0	2	1	2	0.82872928176796	0								4	Syros, Perifereia Notiou Aigaiou, Greece	GR	GR61	16709	37.45	24.9333	-814288	1	Turkey	TU	TU		39.059012	34.911546	TU	20171104131500	http://www.naftemporiki.gr/story/1291861/reports-onex-group-close-to-deal-for-syros-shipyard-us-envoy-refers-to-military-interest-in-alexandroupolis-port
703885243	20171104	201711	2017	2017.8329											CAN	CANADA	CAN								1	042	042	04	1	1.9	1	1	1	0.15337423312883	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	1	Chile	CI	CI		-30	-71	CI	20171104131500	http://calgaryherald.com/entertainment/music/globe-trotting-montreal-collective-nomadic-massive-brings-multiculturalism-to-hip-hop-nation
703885244	20171104	201711	2017	2017.8329											CAN	MONTREAL	CAN								1	042	042	04	1	1.9	1	1	1	0.15337423312883	0								1	Chile	CI	CI		-30	-71	CI	1	Chile	CI	CI		-30	-71	CI	20171104131500	http://calgaryherald.com/entertainment/music/globe-trotting-montreal-collective-nomadic-massive-brings-multiculturalism-to-hip-hop-nation
703885245	20171104	201711	2017	2017.8329											CAN	ONTARIO	CAN								1	051	051	05	1	3.4	6	1	6	1.01522842639594	0								4	Bruce Peninsula, Ontario, Canada	CA	CA08	12643	45	-81.3333	-561749	4	Bruce Peninsula, Ontario, Canada	CA	CA08	12643	45	-81.3333	-561749	20171104131500	http://www.mix106.ca/news_item.php?NewsID=97219
703885246	20171104	201711	2017	2017.8329											CAN	OTTAWA	CAN								1	051	051	05	1	3.4	2	1	2	4.07608695652174	0								3	La Salle County, Illinois, United States	US	USIL		41.2667	-88.8834	422247	3	La Salle County, Illinois, United States	US	USIL		41.2667	-88.8834	422247	20171104131500	http://www.newstrib.com/free/county-earns-state-honors-for-efforts-to-save-lives/article_76a3bede-c0f8-11e7-96fa-2beaa43f9d78.html
703885247	20171104	201711	2017	2017.8329											CAN	ONTARIO	CAN								1	071	071	07	2	7.4	6	1	6	1.01522842639594	0								4	Owen Sound, Ontario, Canada	CA	CA08	12652	44.5667	-80.85	-570814	4	Owen Sound, Ontario, Canada	CA	CA08	12652	44.5667	-80.85	-570814	20171104131500	http://www.mix106.ca/news_item.php?NewsID=97219
703885248	20171104	201711	2017	2017.8329											CAN	OTTAWA	CAN								1	190	190	19	4	-10.0	2	1	2	4.07608695652174	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20171104131500	http://www.newstrib.com/free/county-earns-state-honors-for-efforts-to-save-lives/article_76a3bede-c0f8-11e7-96fa-2beaa43f9d78.html
703885249	20171104	201711	2017	2017.8329											CHR	CHRISTIAN				CHR					1	031	031	03	1	5.2	10	1	10	-3.50877192982456	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20171104131500	https://www.premierchristianradio.com/News/UK/Bishop-tackles-tough-questions-on-chat-show
703885250	20171104	201711	2017	2017.8329											CRM	CRIMINAL						CRM			0	130	130	13	3	-4.4	10	1	10	-7.6271186440678	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171104131500	https://www.news24.com/SouthAfrica/News/joburg-couple-arrested-for-allegedly-renting-out-hijacked-building-20171104
703885251	20171104	201711	2017	2017.8329											CUB	CUBA	CUB								1	057	057	05	1	8.0	10	1	10	1.42857142857142	0								1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20171104131500	http://www.colombopage.com/archive_17B/Nov04_1509799454CH.php
703885252	20171104	201711	2017	2017.8329											CVL	MIGRANT						CVL			1	010	010	01	1	0.0	3	1	3	-9.3425605536332	0								4	Hillbrow, Gauteng, South Africa	SF	SF06	77364	-26.1892	28.0488	-1237173	4	Hillbrow, Gauteng, South Africa	SF	SF06	77364	-26.1892	28.0488	-1237173	20171104131500	https://www.news24.com/SouthAfrica/News/102-arrested-in-crackdown-on-hijacked-properties-in-joburg-20170715
703885253	20171104	201711	2017	2017.8329											CVL	VOTER						CVL			1	020	020	02	1	3.0	10	1	10	1.13240418118467	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20171104131500	https://www.washingtonpost.com/news/the-fix/wp/2017/11/04/dont-look-now-but-this-might-be-an-excellent-time-for-women-to-run-for-office/
703885254	20171104	201711	2017	2017.8329											CVL	CONSTITUENT						CVL			1	051	051	05	1	3.4	12	2	12	-2.57725736359247	0								4	Alappuzha, Kerala, India	IN	IN13	70298	9.49417	76.3275	-2088519	4	Alappuzha, Kerala, India	IN	IN13	70298	9.49417	76.3275	-2088519	20171104131500	http://www.prokerala.com/news/articles/a784986.html
703885255	20171104	201711	2017	2017.8329											CVL	CONSTITUENT						CVL			1	051	051	05	1	3.4	8	2	8	-2.57725736359247	0								5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	20171104131500	http://www.prokerala.com/news/articles/a784986.html
